window	Bract.rpkm	Corolla.rpkm	Ligule.rpkm	Ovary.rpkm	Pollen.rpkm	Seeds.rpkm	Stamen.rpkm	Stem.rpkm	Pistil.rpkm
window_61	0.29	0.16	0.31	0.54	0.01	0.26	0.02	0.6	0.12
window_64	84.67	38.07	30.71	38.53	0.2	21.94	22.08	41.43	83.32
window_114	26.27	10.71	5.95	2.47	0.05	2.36	0.75	8.99	12.42
window_146	22.82	23.55	6.88	1.47	0.09	0.72	2.24	31.91	4.41
window_160	31.13	16.69	21.38	39.53	0.06	16.71	15.2	20.59	45.72
window_182	4.22	0.26	0.915	2.245	0.275	4.985	2.855	0.12	2.125
window_190	1557.68	1721.48	470.73	1999.61	1.02	33.82	15.8	336.63	957.67
window_219	0.17	0.29	2.22	1	0	0.29	6.39	0	0.7
window_220	12.02	2.31	19.04	0.84	0.05	1.36	2.19	8.67	1.12
window_221	1.27	0.6	1.67	0.7	0	1.71	0.09	0.99	0.16
window_223	1.04	3.35	4.64	4.96	0	5.41	1	1.97	1.77
window_242	0.1	0	0	0	0	0	0	0	0
window_255	1.41	1.71	8.68	1.12	0.07	2.35	2.11	2.56	2.59
window_256	1.41	1.71	8.68	1.12	0.07	2.35	2.11	2.56	2.59
window_258	0.04	0.68	2.87	2.9	0	5.84	0.07	0.5	0.35
window_273	83.71	53.94	176.14	46.41	0.4	25.78	7.2	60.19	74.71
window_275	1.92	2.83	3.58	1.3	0.21	1.31	2.08	5.02	2.53
window_276	0.1	0.46	2.31	0.06	0	0.45	0.44	0.22	0.34
window_279	23.9	6.45	18.99	2.45	0.15	3.61	1.31	11.65	4.47
window_281	0.44	0.98	1.05	1.07	0.17	1.61	0.25	0.84	0.29
window_342	34.17	12.01	7.05	16.86	0.49	58.63	24.61	50.3	42.81
window_344	1.01	0.37	1.29	0.44	0.05	1.6	0.17	1.19	0.42
window_348	1.08	0.03	0.19	0.08	0.24	0.4	1.43	0.98	0.22
window_349	12.41	6.15	5.45	2.58	0.01	2.95	1.64	10.19	7.59
window_351	241.79	1313.38	89.74	973.97	0.15	133.97	128.81	149.01	314.85
window_368	0.09	0.73	0	0.89	0	2.82	0.13	0.2	0.14
window_370	0.11	10.71	10.16	46.28	0.02	20.7	2.1	1.58	1.8
window_374	8.36	6.83	5.92	2.63	6.73	12.86	33.83	12.4	17.53
window_376	99.39	46.68	5.71	13.04	0.06	29.08	19.88	28.93	29.88
window_411	7.17	3.96	12.2	5.76	0.01	25.93	3.95	46.71	6.68
window_413	24.48	16.34	16.39	25.815	0.005	6.845	11.075	103.245	12.325
window_414	5.6	2.73	4.82	2.6	0.01	2.79	0.69	7.23	1.98
window_416	0	0.28	1.58	1.6	0	3.07	0.03	0.85	0.14
window_427	15.56	3.74	19.16	2.15	0.19	2.21	1.93	12.26	2.22
window_433	0	0	0.01	0	0	0.02	0.93	0	0
window_434	8.24	6.18	16.9	3.85	0.09	6.88	4.56	10.98	6.36
window_435	8.24	6.18	16.9	3.85	0.09	6.88	4.56	10.98	6.36
window_436	8.24	6.18	16.9	3.85	0.09	6.88	4.56	10.98	6.36
window_440	11.05	1.795	12.385	3.79	0.055	6.915	1.93	8.21	6.855
window_447	23.88	3.92	17.32	4.26	3.62	11.25	5.76	27.61	8.7
window_448	9.74	0.81	3.3	0.42	0.06	0.52	1.05	5.09	0.51
window_451	0.07	0	0.01	0	0.01	0.01	0	0.03	0
window_454	9.44	1.51	2.94	2.39	3.22	12.37	7.69	9.23	7.78
window_462	9.72	13.02	5.94	77.74	0	17.45	9.09	10.98	9.71
window_467	2.85	0	0	0.76	0	94.48	0.13	0.34	0
window_477	5.88	1.81	0.87	4.37	0.01	2.6	0.83	6.44	0.63
window_479	5.88	1.81	0.87	4.37	0.01	2.6	0.83	6.44	0.63
window_481	0.13	0.08	0.81	0.37	0	0.3	0.07	1.25	0.27
window_485	180.37	48.04	152.42	92.87	0.6	112.89	20.36	144.06	93.36
window_487	1.94	0.79	3.04	0.09	0.07	0.22	0.57	4.39	0.44
window_491	0.78	0	0.04	0	0.01	0	0	0.09	0.08
window_514	19.9	16.16	27.04	8.66	0.11	10.12	5.67	20.48	10.13
window_515	19.9	16.16	27.04	8.66	0.11	10.12	5.67	20.48	10.13
window_516	19.9	16.16	27.04	8.66	0.11	10.12	5.67	20.48	10.13
window_519	0.92	0.6	0.49	2.46	0.04	89.74	0.15	0.17	0.31
window_528	4.51	38.5	1.76	9	0	0.36	0.3	0.21	53.25
window_542	0.03	2.09	12.85	0.24	0.12	0.24	15.25	0.2	17.07
window_559	154.67	242.6	84.82	345.6	0.45	145.25	57.9	100.15	156.27
window_560	20.2	23.87	150.89	27.63	0.02	17.12	2.14	12.58	22.18
window_572	0.1	0.44	0.85	1.1	0	0.33	0.17	0.78	0.13
window_575	1.17	2.61	2.09	1.24	0.11	0.84	0.67	6.19	1.43
window_576	1.17	2.61	2.09	1.24	0.11	0.84	0.67	6.19	1.43
window_580	10.39	13.81	12.86	2.73	0.04	2.24	2.83	5.68	3.89
window_587	21.76	62.57	9.39	79.52	0.16	15.23	24.68	14.88	24.19
window_603	362.68	64.91	137.28	172.79	0.52	131.79	37.55	385.53	379.92
window_605	362.68	64.91	137.28	172.79	0.52	131.79	37.55	385.53	379.92
window_620	28.81	18.32	23.55	5.37	0.29	7.73	15.22	17.67	23.36
window_621	28.81	18.32	23.55	5.37	0.29	7.73	15.22	17.67	23.36
window_639	46.74	12.83	5.26	2.8	0.01	1.51	0.64	10.64	33.21
window_640	46.74	12.83	5.26	2.8	0.01	1.51	0.64	10.64	33.21
window_660	0.47	0.37	0.47	0.2	0.01	0.38	0.52	0.97	0.19
window_661	0.47	0.37	0.47	0.2	0.01	0.38	0.52	0.97	0.19
window_667	0.66	0.07	0.1	54.52	0	1927	0.85	0.1	0.31
window_668	2.88	0.17	5.38	0.9	0.2	2.16	2.35	3.24	1.48
window_670	102.27	1640.42	216.09	3164.62	0	132.73	166.2	64.44	777.63
window_696	260.91	148.9	75.75	131.77	5.89	69.96	79.39	186.84	152.02
window_741	7.96	2.2	11.28	1.45	0.17	5.31	1.27	13.79	2.46
window_815	2.43	0.47	3.26	0.76	0.39	0.68	0.71	4.18	1.14
window_816	2.43	0.47	3.26	0.76	0.39	0.68	0.71	4.18	1.14
window_867	10.29	2.82	10.36	1.33	0.06	2.14	0.79	8.17	0.92
window_874	4.92	11.74	12.63	11.39	0.6	10.86	10.5	11.87	10.58
window_890	1.31	2.66	0.87	3.88	0.01	1.95	3.37	0.82	1.94
