"","gene_name","homolog","p"
"1","Ha412HOChr00c00001g0858341","AT2G01050",9.62e-16
"2","Ha412HOChr00c00001g0858351","AT3G24255",2.37e-56
"3","Ha412HOChr00c00001g0858371","AT2G01050",2.18e-16
"4","Ha412HOChr00c00001g0858381","AT2G01050",1.62e-14
"5","Ha412HOChr00c00001g0858391","AT3G24255",1.45e-57
"6","Ha412HOChr00c00001g0858401","ATMG00860",8.86e-28
"7","Ha412HOChr00c00001g0858421","AT1G43760",3.48e-52
"8","Ha412HOChr00c00001g0858441","AT3G24255",5.71e-36
"9","Ha412HOChr00c00001g0858451","AT3G24255",5.56e-59
"10","Ha412HOChr00c00001g0858461","AT4G04650",1.12e-40
"11","Ha412HOChr00c00004g0858531","AT4G27290",2.02e-117
"12","Ha412HOChr00c00004g0858541","AT4G03630",4.56e-35
"13","Ha412HOChr00c00004g0858561","AT4G05460",1.91e-27
"14","Ha412HOChr00c00004g0858571","AT4G05475",3.32e-35
"15","Ha412HOChr00c00004g0858581","AT4G05470",6.97e-12
"16","Ha412HOChr00c00004g0858601","AT4G27300",2.32e-48
"17","Ha412HOChr00c00004g0858611","AT4G27290",1.39e-79
"18","Ha412HOChr00c00004g0858621","AT4G27290",2.8e-16
"19","Ha412HOChr00c00004g0858631","AT4G03630",4.49e-33
"20","Ha412HOChr00c00004g0858641","AT4G05460",1.21e-30
"21","Ha412HOChr00c00005g0858651","AT4G14455",5.67e-59
"22","Ha412HOChr00c00005g0858661","AT3G23150",0
"23","Ha412HOChr00c00005g0858671","AT4G14480",5.52e-132
"24","Ha412HOChr00c00005g0858681","AT5G52070",1.94e-35
"25","Ha412HOChr00c00007g0858711","AT5G16850",0
"26","Ha412HOChr00c00007g0858721","AT2G46915",0
"27","Ha412HOChr00c00008g0858731","AT2G01630",0
"28","Ha412HOChr00c00008g0858741","AT1G70700",3.62e-13
"29","Ha412HOChr00c00008g0858751","AT5G17190",8.87e-65
"30","Ha412HOChr00c00008g0858761","AT1G70670",4.59e-80
"31","Ha412HOChr00c00008g0858771","AT1G70670",2.76e-44
"32","Ha412HOChr00c00008g0858781","AT1G70680",5.35e-24
"33","Ha412HOChr00c00008g0858791","AT1G70670",9.5e-82
"34","Ha412HOChr00c00009g0858831","AT4G22850",1.28e-43
"35","Ha412HOChr00c00010g0858841","AT1G10500",3.78e-68
"36","Ha412HOChr00c00010g0858851","AT1G50120",4.45e-44
"37","Ha412HOChr00c00010g0858861","AT3G04620",2.01e-57
"38","Ha412HOChr00c00010g0858881","AT1G05760",1.39e-22
"39","Ha412HOChr00c00014g0858911","AT3G04620",1.04e-28
"40","Ha412HOChr00c00014g0858921","AT3G04620",1.26e-20
"41","Ha412HOChr00c00014g0858931","AT2G34160",1.27e-09
"42","Ha412HOChr00c00014g0858941","AT1G50120",0
"43","Ha412HOChr00c00014g0858951","AT1G10500",3.78e-68
"44","Ha412HOChr00c00017g0858981","AT3G26922",1.5e-19
"45","Ha412HOChr00c00017g0859001","AT1G03220",2.78e-100
"46","Ha412HOChr00c00017g0859021","AT3G26922",1.14e-17
"47","Ha412HOChr00c00017g0859081","AT4G23160",5.79e-100
"48","Ha412HOChr00c00017g0859121","AT5G56420",5.73e-17
"49","Ha412HOChr00c00017g0859131","AT5G22730",3.61e-15
"50","Ha412HOChr00c00017g0859141","AT3G26922",5.23e-18
"51","Ha412HOChr00c00017g0859151","AT5G22670",2.48e-15
"52","Ha412HOChr00c00017g0859191","AT5G56420",1.06e-17
"53","Ha412HOChr00c00018g0859201","ATCG01280",3.3e-57
"54","Ha412HOChr00c00018g0859221","ATCG01280",1.11e-56
"55","Ha412HOChr00c00018g0859241","ATCG01280",4.81e-36
"56","Ha412HOChr00c00020g0859261","AT1G35220",0
"57","Ha412HOChr00c00020g0859271","AT1G35220",4.18e-105
"58","Ha412HOChr00c00020g0859281","AT1G35220",6.72e-49
"59","Ha412HOChr00c00020g0859291","AT1G35220",1.62e-13
"60","Ha412HOChr00c00020g0859301","AT1G08940",4.45e-135
"61","Ha412HOChr00c00020g0859311","AT3G16210",5.49e-15
"62","Ha412HOChr00c00022g0859381","AT1G08760",3.45e-73
"63","Ha412HOChr00c00022g0859401","AT5G04930",0
"64","Ha412HOChr00c00022g0859431","AT3G59990",3.81e-89
