XRQ_gene_name	XRQ_start	XRQ_end	Bract.rpkm	Corolla.rpkm	Ligule.rpkm	Ovary.rpkm	Pollen.rpkm	Seeds.rpkm	Stamen.rpkm	Stem.rpkm	Pistil.rpkm	412_gene_name	start	end	chr	XRQ_chr
HanXRQChr00c0004g0571011	80878	93710	0.72	1.44	2.25	0.49	0.02	0.14	0.16	1.37	0.39	Ha412HOChr02g0089071	180733262	180739615	Ha412HOChr02	HanXRQChr00
HanXRQChr00c0014g0571071	54093	54884	0	0.15	0	0	0	0	0	0.42	0.02	Ha412HOChr15g0723371	86237656	86238447	Ha412HOChr15	HanXRQChr00
HanXRQChr00c0016g0571081	72430	73820	0.07	0.08	1.09	0.08	0	0.24	0.13	0.2	0.11	Ha412HOChr16g0761171	46665060	46666831	Ha412HOChr16	HanXRQChr00
HanXRQChr00c0020g0571101	49654	57516	23.51	3.12	5.42	0.94	0.03	2.53	1.47	22.39	0.99	Ha412HOChr03g0105821	61661915	61669865	Ha412HOChr03	HanXRQChr00
HanXRQChr00c0025g0571121	19620	23105	0	0	0.07	0	0	0.15	1.26	29.57	0	Ha412HOChr01g0045611	154545234	154548684	Ha412HOChr01	HanXRQChr00
HanXRQChr00c0028g0571141	4286	16988	15.47	8.02	10.89	2.46	0.06	5.95	4.05	25.05	3.86	Ha412HOChr01g0024981	95949393	95962385	Ha412HOChr01	HanXRQChr00
HanXRQChr00c0028g0571151	41775	46736	2.13	1.74	1.45	1.19	0	3.63	0.2	1.56	1.64	Ha412HOChr01g0025001	96004438	96009131	Ha412HOChr01	HanXRQChr00
HanXRQChr00c0029g0571181	15699	19126	2.59	6.67	43.28	9.26	0.05	3.39	20.26	4.5	6.31	Ha412HOChr02g0052111	16294654	16298353	Ha412HOChr02	HanXRQChr00
HanXRQChr00c0029g0571191	27167	33843	0.1	1.76	0.64	2.83	0.04	47.25	7.54	0.24	4.9	Ha412HOChr02g0052101	16279808	16286480	Ha412HOChr02	HanXRQChr00
HanXRQChr00c0036g0571221	32380	42100	4.33	6.23	17.25	2.45	0.04	5.55	2.41	7.35	4.28	Ha412HOChr02g0081891	159948001	159961890	Ha412HOChr02	HanXRQChr00
HanXRQChr00c0038g0571251	39675	42313	0	0	0	0	4.3	0	0	0	0.01	Ha412HOChr10g0472491	179697197	179698726	Ha412HOChr10	HanXRQChr00
HanXRQChr00c0041g0571301	10875	13425	0.04	0.15	0.6	1.19	0.01	0.7	0.02	0.48	0.36	Ha412HOChr09g0407771	150924643	150927185	Ha412HOChr09	HanXRQChr00
HanXRQChr00c0041g0571321	23637	24197	0.56	0	2.8	1.88	0	11.2	1.42	1.57	3.77	Ha412HOChr09g0407791	150937403	150937963	Ha412HOChr09	HanXRQChr00
HanXRQChr00c0046g0571341	6231	10514	0.34	0.37	2.21	0.32	0.02	0.92	0.12	0.53	0.06	Ha412HOChr07g0295971	49379624	49383718	Ha412HOChr07	HanXRQChr00
HanXRQChr00c0057g0571491	16445	17836	82.87	180.47	88.74	82.11	0.3	8.05	93.5	47.9	587.39	Ha412HOChr13g0608121	104297164	104298703	Ha412HOChr13	HanXRQChr00
HanXRQChr00c0095g0571651	6288	8325	4.67	1.5	3.83	1.37	0.06	7.74	1.7	4.4	5.01	Ha412HOChr11g0499541	59022373	59024374	Ha412HOChr11	HanXRQChr00
HanXRQChr00c0117g0571731	21173	33159	1.65	0.81	2.98	1.6	0.03	2.61	0.62	2.03	2.36	Ha412HOChr02g0061111	55712837	55720581	Ha412HOChr02	HanXRQChr00
HanXRQChr00c0140g0572021	19859	24805	3.63	1.46	3.33	0.38	0.33	1.47	1.11	5.69	1.45	Ha412HOChr11g0507441	106373846	106378907	Ha412HOChr11	HanXRQChr00
HanXRQChr00c0141g0572031	22940	24514	0.01	0	0	0	0	1.66	0	0	0	Ha412HOChr04g0154721	27958314	27959871	Ha412HOChr04	HanXRQChr00
HanXRQChr00c0143g0572051	12333	16518	0.16	0.09	0.2	0.13	0	0.08	0.04	1.31	0.02	Ha412HOChr05g0244891	186651406	186660585	Ha412HOChr05	HanXRQChr00
HanXRQChr00c0167g0572241	12151	23834	0	0	0	0	0	5.5	0	0	0.01	Ha412HOChr06g0274131	87236916	87248129	Ha412HOChr06	HanXRQChr00
HanXRQChr00c0215g0572681	11119	14994	0	0	0	0	2.52	0	0.22	0	0	Ha412HOChr11g0527731	187735389	187743308	Ha412HOChr11	HanXRQChr00
HanXRQChr00c0225g0572731	24200	27423	0	0.15	0.2	0.08	0.01	0.17	0.09	0.88	0.02	Ha412HOChr13g0605801	96598755	96601974	Ha412HOChr13	HanXRQChr00
HanXRQChr00c0297g0573161	1054	10385	1.19	3.5	5.2	2.61	0.04	0.8	2.19	6.63	2.56	Ha412HOChr06g0266311	54238214	54247508	Ha412HOChr06	HanXRQChr00
HanXRQChr00c0439g0574731	3853	4914	0	0	0	0	0	0	0	0	0	Ha412HOChr11g0512631	136568548	136569525	Ha412HOChr11	HanXRQChr00
HanXRQChr00c0486g0575011	3129	8772	2.92	1.32	2.66	0.64	0.07	2.26	2.46	3.51	1.89	Ha412HOChr09g0395671	116459620	116465263	Ha412HOChr09	HanXRQChr00
HanXRQChr00c0494g0575111	9550	16224	8.38	3.23	11.61	2.52	0.41	1.09	2.56	9.82	1.65	Ha412HOChr15g0697471	7085676	7092343	Ha412HOChr15	HanXRQChr00
HanXRQChr00c0537g0575611	6139	15054	1.86	1.72	1.96	0.24	0.17	0.8	0.81	1.75	1.04	Ha412HOChr15g0696451	5094414	5104456	Ha412HOChr15	HanXRQChr00
HanXRQChr00c0881g0577731	7901	9833	0	0	0	0	0	0.06	0	0	0.02	Ha412HOChr13g0595971	67988799	67990728	Ha412HOChr13	HanXRQChr00
HanXRQChr00c0946g0578001	8347	10638	5.58	1.49	4.07	1.19	0.03	4.19	1.62	6.23	2.27	Ha412HOChr03g0096261	16079167	16081486	Ha412HOChr03	HanXRQChr00
HanXRQChr00c0952g0578011	1567	6027	0.22	0.34	1.1	2.12	0	1.95	0.27	0.79	0.94	Ha412HOChr08g0368611	155689509	155694754	Ha412HOChr08	HanXRQChr00
HanXRQChr00c1196g0578771	2728	4918	0.05	0	0.07	0	0	0	0	0	0	Ha412HOChr11g0524021	178453879	178456594	Ha412HOChr11	HanXRQChr00
HanXRQChr00c1257g0578881	1	3060	0.02	0.22	1.29	0.08	0.01	4.4	0.4	0.55	0.26	Ha412HOChr14g0671471	147145172	147148510	Ha412HOChr14	HanXRQChr00
HanXRQChr01g0000001	1602	4007	0.29	0.16	0.31	0.54	0.01	0.26	0.02	0.6	0.12	Ha412HOChr01g0000001	302946	305382	Ha412HOChr01	HanXRQChr01
HanXRQChr01g0000011	17215	18564	84.67	38.07	30.71	38.53	0.2	21.94	22.08	41.43	83.32	Ha412HOChr01g0000011	315620	317107	Ha412HOChr01	HanXRQChr01
